"mode","rateTarget","runs","actualRpsMedian","avgMsMedian","p50MsMedian","p95MsMedian","p99MsMedian","errorRatePctMax","droppedIterationsTotal","dbStatementsMedian","dbRowsExaminedMedian","dbTimeMsMedian","redisCommandsMedian"
"DB_ONLY","20","5","20.002","40.879","36.513","64.61","90.488","0","0","92473","199348","14066.909","8"
"L1_L2","20","5","20.017","3.956","3.736","5.909","8.005","0","0","2","0","0.664","8"
"REDIS_ONLY","20","5","20.017","5.065","4.697","7.825","9.501","0","0","2","0","0.634","1209"
