"directory","mode","scenario","rateTarget","duration","requests","actualRps","avgMs","p50Ms","p95Ms","p99Ms","maxMs","errorRatePct","droppedIterations","dbStatements","dbRowsExamined","dbTimeMs","redisCommands","redisHits","redisMisses"
"L1_L2_cold-burst_50rps_2m_run1","L1_L2","cold-burst","50","2m","200","63.944","2650.61","2817.567","3080.361","3109.009","3110.774","0","0","77","166","24.353","213","1","202"
"L1_L2_cold-burst_50rps_2m_run2","L1_L2","cold-burst","50","2m","200","49.618","3401.902","3338.458","3934.695","4022.132","4025.639","0","0","77","166","22.273","214","1","202"
"L1_L2_cold-burst_50rps_2m_run3","L1_L2","cold-burst","50","2m","200","76.796","2183.252","2343.672","2552.543","2589.915","2593.194","0","0","77","166","21.895","178","1","167"
